"ID do pedido","Status do pedido","Cancelar Motivo","Status da Devolução / Reembolso","Número de rastreamento","Data de criação do pedido","Nº de referência do SKU principal","Nome do Produto","Número de referência SKU","Nome da variação","Preço acordado","Quantidade","Valor Total","Taxa de comissão","Taxa de serviço","Total global","Valor estimado do frete","Nome de usuário (comprador)"
"240101PMK68EFU","Concluído","","","BR249656853763GSPXLM1134934","2024-01-01 00:13","#F601","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles - Kit C/2","#F601","","74.99","1","74.99","13.50","4.50","74.99","9.16","g2c6bwx7r5"
"240101PNNC3VS6","Concluído","","","BR248440610664W","2024-01-01 00:33","#F522","Kit C/3 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F522","","126.99","1","126.99","22.68","5.52","84.31","10.31","hique_1994"
"240101PQH9VPQ0","Concluído","","","BR247529481012NSPXLM1138474","2024-01-01 01:06","#F487","Kit C/5 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F487","","40.99","1","40.99","7.38","3.82","28.91","6.84","mkensuzuki"
"240101PQX4YJ4X","Concluído","","","BR241224755638RSPXLM1134035","2024-01-01 01:13","#F488","Kit C/10 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F488","","74.99","1","74.99","13.32","4.48","63.37","13.79","eliosvaldocaetano"
"240101PRB3RVD0","Concluído","","","BR245382133972LSPXLM1135453","2024-01-01 01:20","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","44.99","1","44.99","8.10","3.90","31.07","11.47","0onfb05179"
"240101PS4K730T","Concluído","","","BR247069942440USPXLM1132585","2024-01-01 01:35","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","61.99","11.16","4.24","61.99","13.79","marcosmv100"
"240101PS8SN9MA","Concluído","","","BR241735906141RSPXLM1134780","2024-01-01 01:37","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.99","9.16","regianec1914"
"240101QDAUM681","Concluído","","","BR249071604519ZSPXLM1135072","2024-01-01 07:36","#F522","Kit C/3 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F522","","126.99","1","126.99","22.86","5.54","110.84","9.16","tamaralimacosta"
"240101QEKWSM18","Concluído","","","BR243129741449VSPXLM1135916","2024-01-01 07:59","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","36.70","10.31","marcionascimento27"
"240101QGB5WTPX","Concluído","","","BR240369730929FSPXLM1142396","2024-01-01 08:30","#F740","Darrow Actine Gel de Limpeza Dermatológico Peles Oleosas a Acneicas C/400g","#F740","","73.99","1","73.99","13.14","4.46","72.99","9.16","flaviaalberti"
